aveQtyPerPurchase,medHitTotal,medPageView,medRevenuePerSess,medTimeBtwnSess,minTimeBtwnSess,numOfSess,percentSessWithPurchase
238.0,597.0,-92.5,11982.67,1725.5,3588.0,-711.25,11990.67
229.444444445,405.0,-130.0,7751.31,1665.61111111,2436.0,-992.5,7759.31
126.0,534.0,-118.75,38.5,941.5,3210.0,-908.125,46.5
126.0,201.0,-152.5,38.5,941.5,1212.0,-1161.25,46.5
147.0,951.0,-55.0,444.5,1088.5,5712.0,-430.0,452.5
126.0,387.0,72.5,38.5,941.5,2328.0,526.25,46.5
126.0,969.0,-32.5,38.5,941.5,5820.0,-261.25,46.5
164.5,606.0,-103.75,2921.135,1211.0,3642.0,-795.625,2929.135
168.0,483.0,-115.0,1680.0,1235.5,2904.0,-880.0,1688.0
126.0,492.0,-126.25,38.5,941.5,2958.0,-964.375,46.5
179.666666667,615.0,-92.5,2268.35,1317.16666667,3696.0,-711.25,2276.35
126.0,393.0,-137.5,38.5,941.5,2364.0,-1048.75,46.5
393.0,405.0,-137.5,72.03,2810.5,2436.0,-1048.75,80.03
184.851851852,777.0,-77.5,2587.48,1353.46296296,4668.0,-598.75,2595.48
126.0,399.0,-130.0,38.5,941.5,2400.0,-992.5,46.5
126.0,369.0,-145.0,38.5,941.5,2220.0,-1105.0,46.5
126.0,273.0,-152.5,38.5,941.5,1644.0,-1161.25,46.5
147.0,621.0,-92.5,882.21,1088.5,3732.0,-711.25,890.21
294.0,357.0,-77.5,1380.4,2117.5,2148.0,-598.75,1388.4
294.0,495.0,-107.5,409.92,2117.5,2976.0,-823.75,417.92
133.0,381.0,-137.5,87.36,990.5,2292.0,-1048.75,95.36
126.0,501.0,-122.5,38.5,941.5,3012.0,-936.25,46.5
127.4,525.0,-115.0,38.5,951.3,3156.0,-880.0,46.5
630.0,1317.0,20.0,5007.73,4469.5,7908.0,132.5,5015.73
133.875,354.0,-141.25,233.205,996.625,2130.0,-1076.875,241.205
126.0,339.0,-122.5,38.5,941.5,2040.0,-936.25,46.5
154.0,441.0,-122.5,238.0,1137.5,2652.0,-936.25,246.0
224.0,837.0,-40.0,787.78,1627.5,5028.0,-317.5,795.78
126.0,483.0,-107.5,38.5,941.5,2904.0,-823.75,46.5
126.0,231.0,-141.25,38.5,941.5,1392.0,-1076.875,46.5
251.5,744.0,-88.75,213.01,1820.0,4470.0,-683.125,221.01
159.25,423.0,-130.0,806.645,1174.25,2544.0,-992.5,814.645
126.0,1119.0,-40.0,38.5,941.5,6720.0,-317.5,46.5
210.0,633.0,-92.5,24672.76,1529.5,3804.0,-711.25,24680.76
133.0,567.0,-62.5,255.64,990.5,3408.0,-486.25,263.64
315.0,465.0,-130.0,8696.59,2264.5,2796.0,-992.5,8704.59
126.0,327.0,-145.0,38.5,941.5,1968.0,-1105.0,46.5
126.0,1038.0,-36.25,38.5,941.5,6234.0,-289.375,46.5
161.0,957.0,-21.25,345.905,1186.5,5748.0,-176.875,353.905
126.0,603.0,-115.0,38.5,941.5,3624.0,-880.0,46.5
126.0,321.0,-145.0,38.5,941.5,1932.0,-1105.0,46.5
126.0,429.0,-118.75,38.5,941.5,2580.0,-908.125,46.5
126.0,342.0,-141.25,38.5,941.5,2058.0,-1076.875,46.5
847.0,423.0,-130.0,15998.22,5988.5,2544.0,-992.5,16006.22
126.0,285.0,-152.5,38.5,941.5,1716.0,-1161.25,46.5
126.0,351.0,-137.5,38.5,941.5,2112.0,-1048.75,46.5
126.0,441.0,-130.0,38.5,941.5,2652.0,-992.5,46.5
126.0,411.0,-130.0,38.5,941.5,2472.0,-992.5,46.5
126.0,387.0,-100.0,38.5,941.5,2328.0,-767.5,46.5
126.0,483.0,-85.0,38.5,941.5,2904.0,-655.0,46.5
311.5,465.0,-122.5,893.62,2240.0,2796.0,-936.25,901.62
969.5,528.0,-107.5,18995.62,6846.0,3174.0,-823.75,19003.62
126.0,543.0,-55.0,38.5,941.5,3264.0,-430.0,46.5
